streamer,title,link
Baelz,≪Shadows over Loathing≫ is your name Gary?,https://www.youtube.com/watch?v=MXCCrtkeofE&t=930
Ollie,【POKEMON SCARLET】TIME TO BE THE BEST RESEARCHER/CHAMPION/TOWN HERO【Hololive ID 2nd Generation】,https://www.youtube.com/watch?v=xAela50s1U4&t=8190
Ollie,【POKEMON SCARLET】JUST A FEW MORE GYMS!!【Hololive ID 2nd Generation】,https://www.youtube.com/watch?v=Q7eQfA6yFow&t=22950
Ollie,【DONATION READING + FREETALK】NO MORE DELAYS!! I'LL BE READING THEM ALL!!【Hololive ID 2nd Generation】,https://www.youtube.com/watch?v=16N76CAsQEA&t=1380
Ollie,【OKAMI HD】AFTER SO LONG...WE ARE BACK #8【Hololive ID 2nd Gen】,https://www.youtube.com/watch?v=dlyO91b-p9Y&t=8700
