streamer,title,link
Hana,"(Karaoke) Merayakan 150,000 subscribers milestone dengan menyanyi!【NIJISANJI ID | Hana Macchia】",https://www.youtube.com/watch?v=OYnzEu9tTmQ&t=4770
Hana,(Genshin Impact) breath of the weeb: adventures of newbie hanmaky EP2【NIJISANJI ID | Hana Macchia】,https://www.youtube.com/watch?v=cz_O9_7NCSg&t=6510
