streamer,title,link
Haato,【 Jump King 】I CAN FLY...,https://www.youtube.com/watch?v=dU1ch5cV8PM&t=60
Haato,【 MADiSON 】Super scary BATSU GAME..... #kobochama,https://www.youtube.com/watch?v=jV4Cl0YxPbk&t=1890
Matsuri,【マリオカート8DX】ショートカット覚える！強くなる！！【ホロライブ/夏色まつり】,https://www.youtube.com/watch?v=5Chu3Yq9Hzo&t=6750
Kanata,【監視カメラ】変質者が出る部屋を深夜に監視する仕事…(´；ω；｀)ﾌﾞﾜｯ【天音かなた/ホロライブ】,https://www.youtube.com/watch?v=s5VzxkApdVM&t=3060
Towa,【Getting Over It】今年の目標、壺おじをクリアすること。道の世界へ【常闇トワ/ホロライブ】,https://www.youtube.com/watch?v=MiRxBVEV43s&t=2910
Chloe,【バイオ7】超絶びびりのBIOHAZARD 7初見プレイ！土日クリア耐久！RESIDENT EVIL#2【沙花叉クロヱ/ホロライブ】,https://www.youtube.com/watch?v=FCOGONWkVZ8&t=3420
Kiara,【MARIO KART 8DX】Testing the new tracks!!! #kfp #キアライブ,https://www.youtube.com/watch?v=LPoBQUJpXWE&t=4950
